event_id,mode,reason,bus,id_hex,byte,bit_lsb0,bit_out,expected,score,idle_samples,open_samples,action_samples,action_transitions,press_count,overflow,rule
2,state,idle_open_diff_confirmed_by_toggle,0,217,3,1,1,1,1179.0,1205,830,469,2,,False,"B:0,ID:217,BY:3,BI:1,D:1;"
2,state,idle_open_diff_confirmed_by_toggle,0,43E,4,4,4,1,1110.0,48,34,23,5,,False,"B:0,ID:43E,BY:4,BI:4,D:1;"
