event_id,mode,reason,bus,id_hex,byte,bit_lsb0,bit_out,expected,score,idle_samples,open_samples,action_samples,action_transitions,press_count,overflow,rule
28,button,exact_press_release_count,0,4FE,4,0,0,1,1090.0,174,0,30,6,3,False,"B:0,ID:4FE,BY:4,BI:0,D:1;"
28,button,exact_press_release_count,0,4FE,4,4,4,1,1078.0,174,0,18,6,3,False,"B:0,ID:4FE,BY:4,BI:4,D:1;"
28,button,exact_press_release_count,0,4FE,3,0,0,1,1075.0,174,0,15,6,3,False,"B:0,ID:4FE,BY:3,BI:0,D:1;"
