event_id,mode,reason,bus,id_hex,byte,bit_lsb0,bit_out,expected,score,idle_samples,open_samples,action_samples,action_transitions,press_count,overflow,rule
40,button,exact_press_release_count,0,120,4,5,5,1,1079.0,56,0,19,6,3,False,"B:0,ID:120,BY:4,BI:5,D:1;"
40,button,exact_press_release_count,0,120,4,7,7,1,1073.0,56,0,13,6,3,False,"B:0,ID:120,BY:4,BI:7,D:1;"
