event_id,mode,reason,bus,id_hex,byte,bit_lsb0,bit_out,expected,score,idle_samples,open_samples,action_samples,action_transitions,press_count,overflow,rule
41,button,exact_press_release_count,0,120,4,6,6,1,1076.0,56,0,16,6,3,False,"B:0,ID:120,BY:4,BI:6,D:1;"
41,button,exact_press_release_count,0,120,4,7,7,1,1070.0,56,0,10,6,3,False,"B:0,ID:120,BY:4,BI:7,D:1;"
