event_id,mode,reason,bus,id_hex,byte,bit_lsb0,bit_out,expected,score,idle_samples,open_samples,action_samples,action_transitions,press_count,overflow,rule
39,button,exact_press_release_count,0,120,4,1,1,1,1076.0,56,0,16,6,3,False,"B:0,ID:120,BY:4,BI:1,D:1;"
39,button,exact_press_release_count,0,120,4,2,2,1,1071.0,56,0,11,6,3,False,"B:0,ID:120,BY:4,BI:2,D:1;"
